id,program_name,provider,cost_description,eligibility_description,schedule_description,delivery_note
P041,텃밭 가꾸기,다솜문화센터,"수강료 무료, 교재비 3만원 별도",재직자 우선,주 2회 저녁,온라인
P042,발효음식 담그기,느티나무복지관,10만원,만 60세 이상,야간 주 2회,온라인
P043,국민체조 교실,은현도서관,협의 후 결정,자격 무관,격주 토요일,온라인
P044,컴퓨터 기초,새길기술교육원,,초보자 대상,주 1회 오전,대면·온라인 병행
P045,다육식물 키우기,새길기술교육원,"장애인 무료, 비장애인 3만원",성인 누구나,주 1회 오전,대면
P046,한글서예 심화,느티나무복지관,"관내 거주 무료, 관외 유료",제한 없음(선착순),야간 주 2회,대면·온라인 병행
P047,인문학 강좌,은현도서관,18만원(2회 분납),성인 누구나,격주 토요일,대면
P048,스케치 기초,다솜문화센터,국가유공자 무료,만 60세 이상,주 2회 저녁,온라인
P049,생활영어 회화,푸른숲평생교육원,5만원,재직자 우선,평일 오후,대면·온라인 병행
P050,외국인을 위한 한글교실,푸른숲평생교육원,지자체 전액 지원,제한 없음,평일 오후,대면
P051,분재 기초,새길기술교육원,무료 강좌,초보자 대상,주 1회 오전,대면
P052,사진으로 보는 역사,은현도서관,"수강료 무료, 재료 준비물 개인 구매",만 19세 이상,격주 토요일,대면·온라인 병행
P053,가계부 작성법,새길기술교육원,14만원(조기등록 할인 1만원),자격 무관,주 1회 오전,온라인
P054,원데이 베이킹,느티나무복지관,무료(간식비 개인 부담),제한 없음,야간 주 2회,대면·온라인 병행
P055,시낭송 교실,느티나무복지관,참가비 없음,재직자 우선,야간 주 2회,대면·온라인 병행
P056,소자본 창업 기초,은현도서관,월 4만원,초보자 대상,격주 토요일,대면
P057,꽃꽂이 기초,은현도서관,22만원,만 19세 이상,격주 토요일,대면
P058,엑셀 기초,한빛평생학습관,9만원(재료비 포함),성인 누구나,토요일 오후,대면·온라인 병행
P059,한글타자 연습,한빛평생학습관,9만5천원,초보자 대상,토요일 오후,대면·온라인 병행
P060,보이스피싱 예방교실,고운뜰주민자치센터,만 60세 이상 무료,경력자 우대,주중 매일,대면
P061,영상편집 기초,고운뜰주민자치센터,조기 신청 10명 무료,경력자 우대,주중 매일,대면·온라인 병행
P062,기초 베트남어,열린배움터,전액 무료 제공,초보자 대상,평일 오전,대면
P063,명절음식 준비,새길기술교육원,"무료 설명회, 본과정 15만원",만 19세 이상,주 1회 오전,대면
P064,실내식물 관리,다솜문화센터,8만원,재직자 우선,주 2회 저녁,대면·온라인 병행
P065,역사탐방 이론반,푸른숲평생교육원,무료체험 후 12만원,제한 없음(선착순),평일 오후,온라인
P066,도시양봉 기초,열린배움터,무료(주차비 별도),관내 거주자,평일 오전,대면
P067,노후자금 관리,고운뜰주민자치센터,전액 무료(신청 즉시 확정),제한 없음,주중 매일,대면·온라인 병행
P068,상속과 세금,고운뜰주민자치센터,"수강료 없음, 재료비 실비",경력자 우대,주중 매일,온라인
P069,온라인쇼핑 주의사항,느티나무복지관,24만원(4회 분납),재직자 우선,야간 주 2회,대면
P070,다이어트 도시락,고운뜰주민자치센터,전액 무료,제한 없음(선착순),주중 매일,대면
P071,도자기 공예,한빛평생학습관,13만원,만 19세 이상,토요일 오후,대면
P072,스마트폰뱅킹 안전교실,한빛평생학습관,보증금 5만원(수료 시 환급),초보자 대상,토요일 오후,온라인
P073,온라인뱅킹 활용,열린배움터,20만원,자격 무관,평일 오전,온라인
P074,가족사진 교실,은현도서관,,관내 거주자,격주 토요일,대면
P075,부동산 기초 상식,은현도서관,월 6만원,성인 누구나,격주 토요일,온라인
P076,서예 기초,고운뜰주민자치센터,수강료 전액 면제,만 60세 이상,주중 매일,대면·온라인 병행
P077,유튜브 시청법,느티나무복지관,보증금 1만원(수료 시 환급),제한 없음(선착순),야간 주 2회,온라인
P078,가구 리폼,푸른숲평생교육원,고용보험 지원 전액 무료,만 60세 이상,평일 오후,대면
P079,스마트폰사진 교실,열린배움터,무료로 운영,자격 무관,평일 오전,대면
P080,웃음치료 교실,느티나무복지관,우선돌봄대상 무료,만 60세 이상,야간 주 2회,대면·온라인 병행
P081,사진 촬영 기초,열린배움터,국비 전액 지원,관내 거주자,평일 오전,온라인
P082,SNS 활용법,한빛평생학습관,다자녀가정 면제,관내 거주자,토요일 오후,대면·온라인 병행
P083,드론촬영 기초,은현도서관,"첫 주 무료, 이후 매주 2만원",만 19세 이상,격주 토요일,온라인
P084,영어회화 심화,열린배움터,,성인 누구나,평일 오전,대면·온라인 병행
P085,수채화 교실,다솜문화센터,"65세 이상 면제, 이하 5만원",제한 없음,주 2회 저녁,대면·온라인 병행
P086,독일어 기초,다솜문화센터,확정 전,만 60세 이상,주 2회 저녁,대면·온라인 병행
P087,저염식 조리법,한빛평생학습관,정부 지원으로 무료,자격 무관,토요일 오후,대면
P088,색연필화 교실,은현도서관,수강료 전액 무료,자격 무관,격주 토요일,대면
P089,브이로그 편집,푸른숲평생교육원,무료(개인 재료 지참),경력자 우대,평일 오후,대면·온라인 병행
P090,씨앗 발아 실습,열린배움터,"수강료 무료, 자격시험 응시료 별도",초보자 대상,평일 오전,온라인
P091,스토리텔링 기초,고운뜰주민자치센터,추후 공지,재직자 우선,주중 매일,온라인
P092,사군자 교실,느티나무복지관,"만 65세 이상 무료, 미만 5만원",경력자 우대,야간 주 2회,대면·온라인 병행
P093,요가 기초,새길기술교육원,0원(단 자격시험비 2만원 별도),만 19세 이상,주 1회 오전,온라인
P094,커피 바리스타 기초,느티나무복지관,15만원(3회 분납 가능),제한 없음(선착순),야간 주 2회,대면
P095,손뜨개질,고운뜰주민자치센터,무료,제한 없음(선착순),주중 매일,온라인
P096,인물사진 교실,은현도서관,11만원,성인 누구나,격주 토요일,대면·온라인 병행
P097,기초 일본어,다솜문화센터,"관내 거주자 무료, 관외 3만원",재직자 우선,주 2회 저녁,대면
P098,프랑스어 기초,열린배움터,4만원,만 19세 이상,평일 오전,대면
P099,체형교정 운동,새길기술교육원,문의 요망,성인 누구나,주 1회 오전,온라인
P100,실버 건강체조,열린배움터,1회 무료 체험 이후 8만원,성인 누구나,평일 오전,온라인
